FID;Waterbody Name;area_ha;setname;wbrscode;Water body Code;District;state;Basin Code;Sub Basin
850452;Gobbur Tank;148.25146631;Malni;R05544;Reservoir;Kalaburagi;Karnataka;Krishna;Bhima Lower
849065;Gobind Ballabh Pant Sagar/Rihand;36813.4939701;Karauti;R00636;Reservoir;Singrauli;Madhya Pradesh;Ganga;Sone
848469;Godada;41.50476492;Kahupatta;R03763;Reservoir;Buldhana;Maharashtra;Tapi;Tapi Upper
847292;Godadia;26.238143;Nagalpar;R07322;Reservoir;Kachchh;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Drainage of Rann
849032;Godaghat;84.48689217;Patera R F;R06030;Reservoir;Damoh;Madhya Pradesh;Ganga;Yamuna Lower
848299;Godaghat Reservoir;59.2886955;Patera R F;R01908;Reservoir;Damoh;Madhya Pradesh;Ganga;Yamuna Lower
847342;Godana;38.40865938;Dhrubana;R00170;Reservoir;Sirohi;Rajasthan;West flowing rivers of Kutch and Saurashtra including Luni;Luni Upper
846041;Godavari;36.91883203;Ganeshgaon Naik;R06910;Reservoir;Nashik;Maharashtra;Godavari;Godavari Upper
844571;Goddamvaripalli SR3;240.35068033;Chilamakuru;R07482;Reservoir;Anantapur;Andhra Pradesh;Pennar;Pennar Upper
848237;Godechi;85.91239171;Gadhechi;R05167;Reservoir;Surendranagar;Gujarat;Sabarmati;Sabarmati Lower
847306;Godhatad;298.98822906;Naredi;R01806;Reservoir;Kachchh;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Drainage of Rann
847705;Godri;22.4260812;Godri;R03764;Reservoir;Jalgaon;Maharashtra;Tapi;Tapi Middle
848944;Gogarbham Dam;20.90695857;Tirumala CT;R06536;Reservoir;Chittoor;Andhra Pradesh;East flowing rivers between Pennar and Kanyakumari;Palar and other
850495;Gohe;8.26238282;Gohe Bk;R03765;Reservoir;Pune;Maharashtra;Krishna;Bhima Upper
848932;Gohita;1039.65955972;Jualivage;R01765;Reservoir;Deogarh;Odisha;Brahmani and Baitarni;Brahmani
850792;Goibali;27.71245524;Baliguda CT;R07736;Reservoir;Kandhamal;Odisha;Mahanadi;Mahanadi Lower
849396;Gointha Reservoir;27.72559842;Halla;R01158;Reservoir;Ghazipur;Uttar Pradesh;Ganga;Ghaghara Confluence to Gomti confluence
847281;Gokhalana;16.01585764;Gokhlana;R05168;Reservoir;Rajkot;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Shetrunji and other east flowing rivers
845776;Goki;875.0188825;Bodhgavhan;R01335;Reservoir;Yavatmal;Maharashtra;Godavari;Wardha
