osmid,day,exists_true_image,total_pixel_count,water_pixels,cloud_pixels,water_with_no_clouds_pixels,chl_very_low_pixels,chl_low_pixels,chl_moderate_pixels,chl_high_pixels,chl_very_high_pixels,chl_very_low_area,chl_low_area,chl_moderate_area,chl_high_area,chl_very_high_area,is_valid,total_pixel_area,mci,mci_2
640614126,2024-01-07,True,49021,1809.0,50596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
640614126,2024-02-16,True,49021,38343.0,0.0,38343.0,174.0,252.0,44.0,0.0,0.0,4350.0,6300.0,1100.0,0.0,0.0,True,,2025.0,213.5
640614126,2024-03-27,True,49021,2727.0,51046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
640614126,2024-05-06,True,49021,35217.0,0.0,35217.0,616.0,25596.0,347.0,20.0,0.0,15400.0,639900.0,8675.0,500.0,0.0,True,,132322.5,13339.0
640614126,2024-06-15,True,49021,34593.0,0.0,34593.0,282.0,15843.0,7324.0,458.0,8.0,7050.0,396075.0,183100.0,11450.0,200.0,True,,139530.0,16264.0
640614126,2024-07-25,True,49021,103.0,39663.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
640614126,2024-09-03,True,49021,12287.0,36063.0,6814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
641992869,2024-01-05,True,39542,35050.0,40033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
641992869,2024-02-14,True,39542,15261.0,34120.0,3385.0,12.0,80.0,0.0,0.0,0.0,300.0,2000.0,0.0,0.0,0.0,False,,430.0,43.0
641992869,2024-03-25,True,39542,6101.0,31444.0,1194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
641992869,2024-05-04,True,39542,273.0,40033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
641992869,2024-06-13,True,39542,0.0,40033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
641992869,2024-07-23,True,39542,33692.0,0.0,33692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
641992869,2024-09-01,True,39542,28298.0,40033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
