name,university,Uni Classification,State,Pin Code,Year of Formation,longitude,latitude
ITM University,itm university,Private,Haryana,122017,2009,77.0291,28.5128
ITM-Vocational University,itm-vocational university,Private,Gujarat,391760,2014,73.3873,22.3433
Jadavpur University,jadavpur university,State,West Bengal,700032,1955,88.3699,22.4928
Jagadguru Ramanandacharya Rajasthan Sanskrit University,jagadguru ramanandacharya rajasthan sanskrit university,State,Rajasthan,302026,1998,76.6504,12.3367
Jagadguru Rambhadracharya Handicapped University,jagadguru rambhadracharya handicapped university,Private,Uttar Pradesh,210204,2001,76.1277,27.1983
Jagadguru Sri Shivarathreeswara University,jagadguru sri shivarathreeswara university,Deemed,Karnataka,570015,2008,81.1252,25.014
Jagan Nath University,jagan nath university,Private,Haryana,124507,2013,76.8663,28.6771
Jagannath University,jagannath university,Private,Rajasthan,303901,2008,75.9348,26.6137
Jagran Lakecity University,jagran lakecity university,Private,Madhya Pradesh,462044,2013,77.3609,23.1793
Jai Narain Vyas University,jai narain vyas university,State,Rajasthan,342011,1962,73.043,26.2514
Jai Prakash Vishwavidyalaya,jai prakash vishwavidyalaya,State,Bihar,841301,1995,84.6948,25.7349
Jain University,jain university,Deemed,Karnataka,560001,2008,77.5988,12.977
Jain Vishva Bharati Institute,jain vishva bharati institute,Deemed,Rajasthan,341306,1991,74.3685,27.6236
